# mapping_set_id: "https://github.com/selgebali/datacite4.6-jsonld/blob/main/mappings/datacite-schemaorg.sssom.tsv"
# mapping_set_version: "0.1.0"
# mapping_set_description: "SSSOM mappings from DataCite Metadata Schema 4.6 properties and controlled vocabulary terms to Schema.org. Schema.org targets only; DataCite-to-DCTERMS/DCAT-AP mappings are maintained in a separate artefact."
# creator_id: "https://orcid.org/0000-0003-1378-5495"
# license: "https://creativecommons.org/licenses/by/4.0/"
# subject_source: "https://schema.stage.datacite.org/linked-data/"
# object_source: "https://schema.org/"
# mapping_date: "2026-05-12"
# curie_map:
#   datacite-class: "https://schema.stage.datacite.org/linked-data/class/"
#   datacite-prop: "https://schema.stage.datacite.org/linked-data/property/"
#   datacite-vocab: "https://schema.stage.datacite.org/linked-data/vocab/"
#   schema: "https://schema.org/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
#
# Notes:
#   - Subject IRIs for sub-elements use nested paths (e.g. property/creator/creatorName).
#     These resolve via the redirect workflow to the canonical flat property files.
#   - dateType values with no schema.org equivalent (Accepted, Submitted, Withdrawn, Other, Valid)
#     are intentionally omitted; they are covered in the DataCite-DCTERMS mapping.
#     Note: schema:validFrom is NOT in the domain of CreativeWork/Dataset and was therefore removed.
#   - object_id values use https://schema.org/ (HTTPS) per current schema.org convention.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	comment
datacite-prop:identifier	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	identifier	identifier	DataCite's mandatory DOI maps directly to schema:identifier as a PropertyValue
datacite-prop:identifierType	skos:exactMatch	schema:propertyID	semapv:ManualMappingCuration	identifierType	propertyID	The scheme name (e.g. DOI) is the propertyID of a schema:PropertyValue
datacite-prop:creator	skos:exactMatch	schema:creator	semapv:ManualMappingCuration	creator	creator	Primary research agents map to schema:creator
datacite-prop:creator	skos:narrowMatch	schema:author	semapv:ManualMappingCuration	creator	author	schema:author is a subproperty of schema:creator; DataCite creators are broader
datacite-prop:creator/creatorName	skos:exactMatch	schema:name	semapv:ManualMappingCuration	creatorName	name	Full display name of a creator
datacite-vocab:nameType/Personal	skos:exactMatch	schema:Person	semapv:ManualMappingCuration	Personal	Person	nameType=Personal drives rdf:type schema:Person on the agent node
datacite-vocab:nameType/Organizational	skos:exactMatch	schema:Organization	semapv:ManualMappingCuration	Organizational	Organization	nameType=Organizational drives rdf:type schema:Organization
datacite-prop:creator/givenName	skos:exactMatch	schema:givenName	semapv:ManualMappingCuration	givenName	givenName	Direct lexical match; both refer to a person's given name
datacite-prop:creator/familyName	skos:exactMatch	schema:familyName	semapv:ManualMappingCuration	familyName	familyName	Direct lexical match; both refer to a person's family name
datacite-prop:creator/nameIdentifier	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	nameIdentifier	identifier	Persistent identifier (e.g. ORCID) for the creator; modelled as a schema:PropertyValue
