# mapping_set_id: "https://github.com/selgebali/datacite4.6-jsonld/blob/main/mappings/datacite-dcterms.sssom.tsv"
# mapping_set_version: "0.1.0"
# mapping_set_description: "SSSOM mappings from DataCite Metadata Schema 4.6 to DCTERMS (Dublin Core Terms) and DCAT-AP. Companion file to datacite-schemaorg.sssom.tsv; covers elements with no adequate Schema.org equivalent."
# creator_id: "https://orcid.org/0000-0003-1378-5495"
# license: "https://creativecommons.org/licenses/by/4.0/"
# mapping_date: "2026-05-12"
# subject_source: "https://schema.stage.datacite.org/linked-data/"
# object_source: "http://purl.org/dc/terms/"
# curie_map:
#   datacite-class: "https://schema.stage.datacite.org/linked-data/class/"
#   datacite-prop: "https://schema.stage.datacite.org/linked-data/property/"
#   datacite-vocab: "https://schema.stage.datacite.org/linked-data/vocab/"
#   dcterms: "http://purl.org/dc/terms/"
#   dcat: "http://www.w3.org/ns/dcat#"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
#
# Notes:
#   - This file is a STUB. Full mappings will be developed in a dedicated DataCite-DCTERMS/DCAT-AP sprint.
#   - Priority rows captured here are dateType values omitted from the Schema.org mapping due to
#     domain violations or missing Schema.org equivalents.
#   - Subject IRIs for sub-elements use the same nested path convention as the Schema.org file.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	comment
datacite-prop:identifier	skos:exactMatch	dcterms:identifier	semapv:ManualMappingCuration	identifier	identifier	DataCite's mandatory DOI maps directly to dcterms:identifier
datacite-prop:creator	skos:exactMatch	dcterms:creator	semapv:ManualMappingCuration	creator	creator	Primary agents map to dcterms:creator
datacite-prop:title	skos:exactMatch	dcterms:title	semapv:ManualMappingCuration	title	title	Primary title maps to dcterms:title
datacite-prop:publisher	skos:exactMatch	dcterms:publisher	semapv:ManualMappingCuration	publisher	publisher	Publisher maps to dcterms:publisher
datacite-prop:publicationYear	skos:exactMatch	dcterms:issued	semapv:ManualMappingCuration	publicationYear	issued	Publication year maps to dcterms:issued
datacite-prop:subject	skos:exactMatch	dcterms:subject	semapv:ManualMappingCuration	subject	subject	Subject/keyword maps to dcterms:subject
datacite-prop:contributor	skos:exactMatch	dcterms:contributor	semapv:ManualMappingCuration	contributor	contributor	Contributor maps to dcterms:contributor
datacite-prop:date	skos:exactMatch	dcterms:date	semapv:ManualMappingCuration	date	date	Generic date container maps to dcterms:date
datacite-vocab:dateType/Accepted	skos:exactMatch	dcterms:dateAccepted	semapv:ManualMappingCuration	Accepted	dateAccepted	Acceptance date maps exactly to dcterms:dateAccepted
datacite-vocab:dateType/Available	skos:exactMatch	dcterms:available	semapv:ManualMappingCuration	Available	available	Availability date maps exactly to dcterms:available
datacite-vocab:dateType/Copyrighted	skos:exactMatch	dcterms:dateCopyrighted	semapv:ManualMappingCuration	Copyrighted	dateCopyrighted	Copyright date maps exactly to dcterms:dateCopyrighted
datacite-vocab:dateType/Collected	skos:closeMatch	dcterms:created	semapv:ManualMappingCuration	Collected	created	Data collection is a form of creation; closeMatch because collection period may differ from file creation
